   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
1.50000e+15 1.78490e+00 2.09239e+00 1.03652e+01 1.99992e-01 1.44062e+00 4.02878e-03 3.79684e-01 1.66849e+00 4.45868e+00 6.49985e+00 4.30561e-01 5.74834e-01 2.92508e-01 6.25256e-01 2.04279e-01 9.86551e-01
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure
0.0000e+00 0.0000e+00 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
0.0000e+00 1.5625e-02 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
0.0000e+00 3.1250e-02 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
0.0000e+00 4.6875e-02 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
0.0000e+00 6.2500e-02 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
0.0000e+00 7.8125e-02 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
0.0000e+00 9.3750e-02 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
0.0000e+00 1.0938e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
0.0000e+00 1.2500e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
0.0000e+00 1.4062e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
0.0000e+00 1.5625e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
0.0000e+00 1.7188e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
0.0000e+00 1.8750e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
0.0000e+00 2.0312e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
0.0000e+00 2.1875e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
0.0000e+00 2.3438e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
0.0000e+00 2.5000e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
0.0000e+00 2.6562e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
0.0000e+00 2.8125e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
0.0000e+00 2.9688e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
0.0000e+00 3.1250e-01 -1.3595e+00 -1.6761e-01 5.9596e-01 1.2505e-01 4.1275e+35
