   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
9.00000e+14 1.04879e+00 1.12429e+00 1.29134e+01 6.50040e-01 8.15066e-01 8.49552e-02 6.92912e-01 9.36808e-01 0.00000e+00 1.61782e+00 2.06972e-01 6.04815e-01 -1.73714e-01 3.79245e-01 3.06935e-01 6.71484e-01
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure
0.0000e+00 0.0000e+00 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 1.5625e-02 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 3.1250e-02 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 4.6875e-02 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 6.2500e-02 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 7.8125e-02 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 9.3750e-02 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 1.0938e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 1.2500e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 1.4062e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 1.5625e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 1.7188e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 1.8750e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 2.0312e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 2.1875e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 2.3438e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 2.5000e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 2.6562e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 2.8125e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 2.9688e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 3.1250e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 3.2812e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 3.4375e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 3.5938e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 3.7500e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 3.9062e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 4.0625e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 4.2188e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 4.3750e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 4.5312e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 4.6875e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 4.8438e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 5.0000e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 5.1562e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 5.3125e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 5.4688e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 5.6250e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 5.7812e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 5.9375e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 6.0938e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 6.2500e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 6.4062e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 6.5625e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 6.7188e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 6.8750e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 7.0312e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 7.1875e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 7.3438e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 7.5000e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 7.6562e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 7.8125e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 7.9688e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 8.1250e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 8.2812e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 8.4375e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 8.5938e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 8.7500e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 8.9062e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 9.0625e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 9.2188e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 9.3750e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 9.5312e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 9.6875e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 9.8438e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
0.0000e+00 1.0000e+00 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8399e+34
7.8117e-03 0.0000e+00 -6.5053e-01 -3.0960e-02 3.0978e-01 2.4653e-01 7.8405e+34
7.8117e-03 1.5625e-02 -6.5053e-01 -3.0960e-02 3.0978e-01 2.4653e-01 7.8405e+34
7.8117e-03 3.1250e-02 -6.5053e-01 -3.0960e-02 3.0978e-01 2.4653e-01 7.8405e+34
7.8117e-03 4.6875e-02 -6.5053e-01 -3.0960e-02 3.0978e-01 2.4653e-01 7.8405e+34
7.8117e-03 6.2500e-02 -6.5053e-01 -3.0960e-02 3.0978e-01 2.4653e-01 7.8405e+34
7.8117e-03 7.8125e-02 -6.5053e-01 -3.0960e-02 3.0978e-01 2.4653e-01 7.8405e+34
7.8117e-03 9.3750e-02 -6.5053e-01 -3.0960e-02 3.0978e-01 2.4653e-01 7.8405e+34
7.8117e-03 1.0938e-01 -6.5053e-01 -3.0960e-02 3.0978e-01 2.4653e-01 7.8405e+34
7.8117e-03 1.2500e-01 -6.5053e-01 -3.0960e-02 3.0978e-01 2.4653e-01 7.8405e+34
7.8117e-03 1.4062e-01 -6.5053e-01 -3.0960e-02 3.0978e-01 2.4653e-01 7.8405e+34
7.8117e-03 1.5625e-01 -6.5053e-01 -3.0960e-02 3.0978e-01 2.4653e-01 7.8405e+34
7.8117e-03 1.7188e-01 -6.5053e-01 -3.0960e-02 3.0978e-01 2.4653e-01 7.8404e+34
7.8117e-03 1.8750e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4653e-01 7.8404e+34
7.8117e-03 2.0312e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4653e-01 7.8404e+34
7.8117e-03 2.1875e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4653e-01 7.8404e+34
7.8117e-03 2.3438e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4653e-01 7.8404e+34
7.8117e-03 2.5000e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4653e-01 7.8404e+34
7.8117e-03 2.6562e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4653e-01 7.8404e+34
7.8117e-03 2.8125e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8404e+34
7.8117e-03 2.9688e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8404e+34
7.8117e-03 3.1250e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8404e+34
7.8117e-03 3.2812e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8404e+34
7.8117e-03 3.4375e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8404e+34
7.8117e-03 3.5938e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8403e+34
7.8117e-03 3.7500e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8403e+34
7.8117e-03 3.9062e-01 -6.5052e-01 -3.0960e-02 3.0978e-01 2.4652e-01 7.8403e+34
