Points	 Bubble	 Insertion	 Select
2	 0.000001	 0.000001	 0.000003
4	 0.000001	 0.000001	 0.000002
8	 0.000001	 0.000001	 0.000001
16	 0.000004	 0.000002	 0.000003
32	 0.000013	 0.000006	 0.000009
64	 0.000049	 0.000020	 0.000029
128	 0.000173	 0.000081	 0.000123
256	 0.000732	 0.000303	 0.000424
512	 0.002930	 0.001117	 0.001245
1024	 0.007984	 0.002795	 0.003888
2048	 0.030347	 0.008711	 0.011339
4096	 0.116473	 0.034257	 0.038058
8192	 0.444067	 0.130390	 0.154830
16384	 1.811730	 0.527608	 0.561495
32768	 7.124448	 2.203671	 2.164081
