Points	 Bubble	 Insertion	 Select
2	 0.000002	 0.000002	 0.000003
4	 0.000002	 0.000001	 0.000001
8	 0.000003	 0.000002	 0.000003
16	 0.000007	 0.000004	 0.000006
32	 0.000020	 0.000012	 0.000016
64	 0.000068	 0.000035	 0.000050
128	 0.000224	 0.000082	 0.000154
256	 0.000904	 0.000336	 0.000575
512	 0.003995	 0.001149	 0.001980
1024	 0.007758	 0.002738	 0.003561
2048	 0.034873	 0.013553	 0.011595
4096	 0.108123	 0.032781	 0.044873
8192	 0.425433	 0.118542	 0.138477
16384	 1.597175	 0.482716	 0.500494
